0,1,2,3,4,5,6,7,8,9
-64.0,-64.0,-59.0,-60.0,-59.0,-53.0,-51.0,-48.0,4.0,1.0
-64.0,-65.0,-60.0,-60.0,-60.0,-54.0,-50.0,-48.0,4.0,1.0
-64.0,-65.0,-61.0,-59.0,-62.0,-56.0,-51.0,-48.0,4.0,1.0
-67.0,-65.0,-62.0,-60.0,-60.0,-51.0,-49.0,-48.0,4.0,1.0
-65.0,-64.0,-63.0,-58.0,-58.0,-57.0,-50.0,-48.0,4.0,1.0
-67.0,-65.0,-61.0,-60.0,-62.0,-55.0,-50.0,-48.0,4.0,1.0
-68.0,-65.0,-64.0,-60.0,-62.0,-55.0,-51.0,-49.0,4.0,1.0
-66.0,-65.0,-62.0,-61.0,-61.0,-54.0,-50.0,-47.0,4.0,1.0
-63.0,-65.0,-63.0,-63.0,-58.0,-55.0,-50.0,-48.0,4.0,1.0
-65.0,-65.0,-62.0,-62.0,-59.0,-52.0,-50.0,-48.0,4.0,1.0
-67.0,-69.0,-64.0,-60.0,-56.0,-54.0,-49.0,-49.0,4.0,1.0
-66.0,-67.0,-64.0,-61.0,-59.0,-53.0,-51.0,-46.0,4.0,1.0
-61.0,-65.0,-64.0,-62.0,-57.0,-55.0,-49.0,-46.0,4.0,1.0
-64.0,-66.0,-62.0,-61.0,-57.0,-55.0,-49.0,-46.0,4.0,1.0
-66.0,-68.0,-64.0,-58.0,-59.0,-55.0,-50.0,-48.0,4.0,1.0
-65.0,-67.0,-62.0,-58.0,-57.0,-55.0,-49.0,-48.0,4.0,1.0
-72.0,-70.0,-63.0,-61.0,-57.0,-52.0,-55.0,-53.0,5.0,1.0
-71.0,-70.0,-63.0,-61.0,-61.0,-51.0,-58.0,-58.0,5.0,1.0
-74.0,-72.0,-62.0,-64.0,-55.0,-49.0,-55.0,-57.0,5.0,1.0
-70.0,-74.0,-63.0,-63.0,-59.0,-54.0,-54.0,-65.0,5.0,1.0
-69.0,-73.0,-67.0,-63.0,-54.0,-49.0,-56.0,-58.0,5.0,1.0
-68.0,-72.0,-66.0,-59.0,-54.0,-49.0,-57.0,-59.0,5.0,1.0
-66.0,-70.0,-65.0,-60.0,-55.0,-54.0,-56.0,-59.0,5.0,1.0
-71.0,-71.0,-65.0,-64.0,-55.0,-51.0,-56.0,-58.0,5.0,1.0
